Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jalen Jones\jonesja04,SF,24,DAL,12,162,10.9,0.483,0.391,0.266,8.6,15.6,12,3.9,1.5,0.5,8.9,22,-0.1,0.1,0.1,0.024,-3.2,-2.7,-5.9,-0.2
Tyus Jones\jonesty01,PG,21,MIN,82,1467,14.1,0.572,0.393,0.247,1.2,9.2,5.2,21.2,3.2,0.4,14,12.7,2.3,1.2,3.6,0.117,0.8,-0.3,0.5,0.9
DeAndre Jordan\jordade01,C,29,LAC,77,2424,20.2,0.648,0,0.54,15.1,37.6,26.5,7.1,0.8,2.4,16.1,15.2,6,3.4,9.4,0.186,0.5,1.6,2.1,2.5
Cory Joseph\josepco01,PG,26,IND,82,2210,11,0.503,0.315,0.156,2,11.4,6.7,16.1,1.8,0.7,11.9,14.8,1.2,2,3.1,0.068,-1.3,0.1,-1.2,0.5
Frank Kaminsky\kaminfr01,PF,24,CHO,79,1835,14.4,0.545,0.383,0.271,2.7,14.5,8.5,11,1,0.9,7.6,20.5,2.3,1.3,3.6,0.094,0.3,-1.2,-0.9,0.5
Enes Kanter\kanteen01,C,25,NYK,71,1830,24,0.63,0.003,0.258,16.6,30.6,23.6,9.4,1,1.7,13.3,21.8,5.5,2.1,7.6,0.198,2.4,0.1,2.5,2.1
Luke Kennard\kennalu01,SG,21,DET,73,1463,12.1,0.56,0.419,0.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,1.1,1.4,2.6,0.085,-1.1,-0.4,-1.5,0.2
Michael Kidd-Gilchrist\kiddgmi01,SF,24,CHO,74,1850,12.5,0.536,0.004,0.305,4.8,13,8.8,5.9,1.3,1.4,7.8,16.2,1.6,1.6,3.2,0.084,-2,0.3,-1.8,0.1
Sean Kilpatrick\kilpase01,SG,28,TOT,52,640,11.6,0.507,0.49,0.245,0.8,14.2,7.5,11.3,1,0.7,10.4,24.9,-0.2,0.3,0.1,0.008,-2.5,-3.6,-6.1,-0.7
Sean Kilpatrick\kilpase01,SG,28,BRK,16,183,4.9,0.414,0.494,0.218,0.6,19.9,10.2,12.6,0.5,0.4,14.4,26.3,-0.6,0.1,-0.4,-0.116,-7.1,-3.1,-10.2,-0.4
Sean Kilpatrick\kilpase01,SG,28,MIL,23,205,11.3,0.515,0.561,0.232,0.6,13.7,7.1,10.9,1.2,0.4,9.1,21.9,0,0.1,0.1,0.035,-2,-4.2,-6.1,-0.2
Sean Kilpatrick\kilpase01,SG,28,LAC,4,38,10.5,0.503,0.389,0.111,0,5.7,2.9,12.1,0,0,5,22.6,0,0,0,0.029,-2,-5.9,-7.9,-0.1
